wavelength,absorbance,bonds,,,absorbance,
1055.05987,0.001763,aliphatic C-H,,,0.004263,0.001763
1056.988681,0.001919,aliphatic C-H,,,0.004419,0.001919
1058.917493,0.002165,aliphatic C-H,,,0.004665,0.002165
1060.846304,0.002482,aliphatic C-H,,,0.004982,0.002482
1062.775116,0.002852,aliphatic C-H,,,0.005352,0.002852
1064.703927,0.003248,aliphatic C-H,,,0.005748,0.003248
1066.632739,0.003617,aliphatic C-H,,,0.006117,0.003617
1068.56155,0.003833,aliphatic C-H,,,0.006333,0.003833
1070.490362,0.003767,aliphatic C-H,,,0.006267,0.003767
1072.419173,0.003443,aliphatic C-H,,,0.005943,0.003443
1074.347985,0.003004,aliphatic C-H,,,0.005504,0.003004
1076.276796,0.0026,aliphatic C-H,,,0.0051,0.0026
1078.205607,0.002285,aliphatic C-H,,,0.004785,0.002285
1080.134419,0.002017,aliphatic C-H,,,0.004517,0.002017
1082.06323,0.001778,aliphatic C-H,,,0.004278,0.001778
1083.992042,0.001571,aliphatic C-H,,,0.004071,0.001571
1085.920853,0.001392,aliphatic C-H,,,0.003892,0.001392
1087.849665,0.001243,aliphatic C-H,,,0.003743,0.001243
1089.778476,0.001113,aliphatic C-H,,,0.003613,0.001113
1091.707288,0.000995,aliphatic C-H,,,0.003495,0.000995
1093.636099,0.000916,aliphatic C-H,,,0.003416,0.000916
1095.564911,0.000881,aliphatic C-H,,,0.003381,0.000881
1097.493722,0.000835,aliphatic C-H,,,0.003335,0.000835
1099.422534,0.000768,aliphatic C-H,,,0.003268,0.000768
1101.351345,0.000714,aliphatic C-H,,,0.003214,0.000714
1103.280156,0.000671,aliphatic C-H,,,0.003171,0.000671
1105.208968,0.000628,aliphatic C-H,,,0.003128,0.000628
1107.137779,0.000609,aliphatic C-H,,,0.003109,0.000609
1109.066591,0.000623,aliphatic C-H,,,0.003123,0.000623
1110.995402,0.000658,aliphatic C-H,,,0.003158,0.000658
1112.924214,0.00069,aliphatic C-H,,,0.00319,0.00069
1114.853025,0.000659,aliphatic C-H,,,0.003159,0.000659
1116.781837,0.000539,aliphatic C-H,,,0.003039,0.000539
1118.710648,0.000374,aliphatic C-H,,,0.002874,0.000374
1120.63946,0.000245,aliphatic C-H,,,0.002745,0.000245
1122.568271,0.00017,aliphatic C-H,,,0.00267,0.00017
1124.497083,0.000124,aliphatic C-H,,,0.002624,0.000124
1126.425894,1E-04,aliphatic C-H,,,0.0026,1E-04
1128.354706,0.000085,aliphatic C-H,,,0.002585,0.000085
1130.283517,8.1E-05,aliphatic C-H,,,0.002581,8.1E-05
1132.212328,7.9E-05,aliphatic C-H,,,0.002579,7.9E-05
1134.14114,5.4E-05,aliphatic C-H,,,0.002554,5.4E-05
1136.069951,4.2E-05,aliphatic C-H,,,0.002542,4.2E-05
1137.998763,6E-05,aliphatic C-H,,,0.00256,6E-05
1139.927574,0.00011,aliphatic C-H,,,0.00261,0.00011
1141.856386,0.000217,aliphatic C-H,,,0.002717,0.000217
1143.785197,0.000344,aliphatic C-H,,,0.002844,0.000344
1145.714009,0.00048,aliphatic C-H,,,0.00298,0.00048
1147.64282,0.00069,aliphatic C-H,,,0.00319,0.00069
1149.571632,0.001081,aliphatic C-H,,,0.003581,0.001081
1151.500443,0.001668,aliphatic C-H,,,0.004168,0.001668
1153.429255,0.002184,aliphatic C-H,,,0.004684,0.002184
1155.358066,0.002262,aliphatic C-H,,,0.004762,0.002262
1157.286877,0.001864,aliphatic C-H,,,0.004364,0.001864
1159.215689,0.001325,aliphatic C-H,,,0.003825,0.001325
1161.1445,0.000938,aliphatic C-H,,,0.003438,0.000938
1163.073312,0.000739,aliphatic C-H,,,0.003239,0.000739
1165.002123,0.000652,aliphatic C-H,,,0.003152,0.000652
1166.930935,0.000639,aliphatic C-H,,,0.003139,0.000639
1168.859746,0.000668,aliphatic C-H,,,0.003168,0.000668
1170.788558,0.000712,aliphatic C-H,,,0.003212,0.000712
1172.717369,0.000807,aliphatic C-H,,,0.003307,0.000807
1174.646181,0.001023,aliphatic C-H,,,0.003523,0.001023
1176.574992,0.001427,aliphatic C-H,,,0.003927,0.001427
1178.503804,0.001989,aliphatic C-H,,,0.004489,0.001989
1180.432615,0.002422,aliphatic C-H,,,0.004922,0.002422
1182.361426,0.002462,aliphatic C-H,,,0.004962,0.002462
