wavelength,absorbance,bonds,,,,,,,
1406.103556,0.025327,C-H,,,,,,,
1408.032368,0.030302,C-H,,,,,,,
1409.961179,0.030764,C-H,,,,,,,
1411.88999,0.025396,C-H,,,,,,,
1413.818802,0.017763,C-H,,,,,,,
1415.747613,0.011635,C-H,,,,,,,
1417.676425,0.007849,C-H,,,,,,,
1419.605236,0.005688,C-H,,,,,,,
1421.534048,0.004514,C-H,,,,,,,
1423.462859,0.00396,C-H,,,,,,,
1425.391671,0.003797,C-H,,,,,,,
1427.320482,0.00392,C-H,,,,,,,
1429.249294,0.004341,C-H,,,,,,,
1431.178105,0.005079,C-H,,,,,,,
1433.106917,0.006063,C-H,,,,,,,
1435.035728,0.007148,C-H,,,,,,,
1436.964539,0.008136,C-H,,,,,,,
1438.893351,0.008861,C-H,,,,,,,
1440.822162,0.009302,C-H,,,,,,,
1442.750974,0.009516,C-H,,,,,,,
1444.679785,0.009613,C-H,,,,,,,
1446.608597,0.009713,C-H,,,,,,,
1448.537408,0.009874,C-H,,,,,,,
1450.46622,0.010129,C-H,,,,,,,
1452.395031,0.010336,C-H,,,,,,,
1454.323843,0.010275,C-H,,,,,,,
1456.252654,0.009864,C-H,,,,,,,
1458.181466,0.009064,C-H,,,,,,,
1460.110277,0.008004,C-H,,,,,,,
1462.039089,0.006874,C-H,,,,,,,
1463.9679,0.005764,C-H,,,,,,,
1465.896711,0.00478,C-H,,,,,,,
1467.825523,0.004021,C-H,,,,,,,
1469.754334,0.003507,C-H,,,,,,,
1471.683146,0.003171,C-H,,,,,,,
1473.611957,0.002922,C-H,,,,,,,
1475.540769,0.002689,C-H,,,,,,,
1477.46958,0.002437,C-H,,,,,,,
1479.398392,0.0022,C-H,,,,,,,
1481.327203,0.001997,C-H,,,,,,,
1483.256015,0.001776,C-H,,,,,,,
1485.184826,0.001547,C-H,,,,,,,
1487.113638,0.001375,C-H,,,,,,,
1489.042449,0.001274,C-H,,,,,,,
1490.97126,0.001229,aromatic,,,,,,,
1492.900072,0.001269,aromatic,,,,,,,
1494.828883,0.00148,aromatic,,,,,,,
1496.757695,0.001919,aromatic,,,,,,,
1498.686506,0.002636,aromatic,,,,,,,
1500.615318,0.003972,aromatic,,,,,,,
1502.544129,0.005937,aromatic,,,,,,,
1504.472941,0.007215,aromatic,,,,,,,
1506.401752,0.006496,aromatic,,,,,,,
1508.330564,0.004559,aromatic,,,,,,,
1510.259375,0.003018,aromatic,,,,,,,
1512.188187,0.002179,aromatic,,,,,,,
1514.116998,0.001779,aromatic,,,,,,,
1516.045809,0.001606,aromatic,,,,,,,
1517.974621,0.001535,aromatic,,,,,,,
1519.903432,0.001568,aromatic,,,,,,,
1521.832244,0.001658,aromatic,,,,,,,
1523.761055,0.001704,aromatic,,,,,,,
1525.689867,0.001708,aromatic,,,,,,,
1527.618678,0.001673,aromatic,,,,,,,
1529.54749,0.001566,aromatic,,,,,,,
1531.476301,0.001434,aromatic,,,,,,,
1533.405113,0.00134,aromatic,,,,,,,
1535.333924,0.00125,aromatic,,,,,,,
1537.262736,0.001159,aromatic,,,,,,,
1539.191547,0.001125,aromatic,,,,,,,
1541.120358,0.001103,aromatic,,,,,,,
1543.04917,0.001064,aromatic,,,,,,,
1544.977981,0.001053,aromatic,,,,,,,
1546.906793,0.001073,aromatic,,,,,,,
